borrower_id,age,gender,location,has_mobile_money,has_bank_account,employment_type,monthly_income,months_active,monthly_tx_count,previous_defaults,informal_borrowing_history,default
41,27,F,Urban,1,0,Informal,20880.850006829,60,37,0,0,0
42,61,M,Rural,0,1,Self-Employed,13932.602886425244,45,16,0,0,0
43,57,M,Urban,1,0,Self-Employed,18536.209267034774,98,18,0,1,0
44,38,M,Urban,0,0,Informal,56616.39881009964,103,30,0,0,0
45,21,F,Rural,1,0,Informal,8765.463764996784,17,28,0,0,0
46,73,M,Rural,0,1,Self-Employed,2776.4085464502555,70,6,0,0,0
47,43,F,Rural,0,1,Informal,5088.926730749693,86,19,0,0,0
48,68,M,Rural,1,0,Informal,5400.917897956965,32,42,0,0,0
49,56,M,Rural,1,0,Public Sector,6045.075764156,112,26,0,0,0
50,62,M,Rural,1,1,Self-Employed,6213.610582452727,107,37,0,0,0
51,61,F,Urban,0,0,Self-Employed,12005.778389259913,21,41,0,0,0
52,29,F,Urban,1,1,Self-Employed,14912.53403240704,2,14,0,0,0
53,38,F,Rural,0,0,Self-Employed,14784.881033104202,69,11,0,0,0
54,44,F,Rural,1,0,Self-Employed,6821.2681179977135,106,29,0,0,0
55,46,M,Urban,0,1,Informal,27096.045119385864,82,23,0,0,1
56,20,F,Urban,1,1,Informal,18761.97816414189,91,45,0,0,0
57,49,M,Rural,1,0,Self-Employed,43350.34390495294,86,9,0,1,0
58,26,M,Rural,1,0,Private Sector,24087.103163221476,18,21,0,0,0
59,60,M,Urban,0,1,Informal,9250.173606097707,9,2,0,1,0
60,56,M,Urban,1,0,Private Sector,34766.64219140743,8,18,0,1,0
61,70,F,Urban,1,1,Self-Employed,15228.011527235529,118,29,0,0,0
62,60,F,Rural,1,0,Informal,23165.187699385202,114,39,0,0,0
63,38,F,Rural,0,0,Informal,21771.71203741862,100,42,0,1,0
64,73,F,Rural,0,0,Informal,11076.346180401355,8,0,0,1,0
65,41,F,Rural,1,0,Self-Employed,13288.301089286682,106,43,0,0,0
66,36,M,Urban,1,0,Informal,11014.00914120923,116,34,0,0,0
67,69,M,Rural,1,0,Informal,6183.662267389228,94,10,0,1,0
68,39,M,Urban,1,0,Informal,2200.1199994504327,51,10,0,1,0
69,22,F,Urban,0,1,Private Sector,7023.230407730344,12,38,0,0,0
70,44,F,Urban,1,0,Informal,14347.852100847698,43,34,0,1,0
71,63,M,Urban,0,0,Informal,29158.184050027758,25,10,0,1,0
72,28,F,Urban,0,1,Informal,23128.36340133776,78,21,0,0,0
73,44,F,Rural,0,0,Informal,9782.325631944634,106,42,0,0,0
74,25,F,Rural,1,0,Informal,7100.224614484644,60,1,0,0,0
75,57,F,Rural,0,0,Self-Employed,10594.853596032324,6,25,1,0,0
76,45,F,Urban,1,0,Self-Employed,5608.383633133402,47,43,0,0,0
77,36,F,Urban,1,0,Informal,2252.5254850772235,96,0,0,0,0
78,30,F,Rural,0,1,Self-Employed,3554.278277485721,77,27,0,0,0
79,50,M,Rural,1,0,Informal,36747.15519398935,5,27,1,0,1
80,56,F,Rural,1,0,Self-Employed,54060.060003849176,42,15,0,1,0
81,71,M,Rural,1,1,Informal,22363.28397045411,42,26,0,0,0
82,42,F,Urban,1,0,Public Sector,11678.454240813095,5,35,0,1,0
83,27,M,Rural,0,0,Private Sector,4014.382062480322,42,14,1,0,1
84,65,M,Urban,0,0,Self-Employed,10754.906897663528,99,24,0,0,0
85,53,M,Rural,0,1,Informal,19960.17672066745,16,26,0,0,0
86,57,M,Rural,1,0,Self-Employed,23764.02171906312,62,1,0,0,0
87,23,M,Rural,1,0,Self-Employed,21227.903670364325,79,10,0,0,0
88,35,M,Urban,1,1,Self-Employed,32198.57447472244,82,32,0,0,0
89,61,M,Urban,1,0,Informal,57894.9138957684,40,24,0,1,0
90,65,M,Rural,0,1,Informal,8848.516740712554,69,48,1,0,1
91,42,F,Rural,0,0,Informal,115413.04218954856,87,42,0,1,0
92,63,F,Urban,0,0,Informal,2431.036446841586,74,11,0,0,0
93,65,F,Urban,0,1,Informal,6564.120757535355,100,49,0,0,0
94,40,M,Urban,1,0,Self-Employed,14357.435038511088,27,43,1,0,1
95,69,M,Urban,0,0,Informal,18981.948802434443,13,21,1,0,1
96,34,F,Urban,0,0,Informal,10579.934161230745,112,31,1,0,0
97,31,M,Rural,0,1,Informal,8228.921611126052,88,13,0,0,0
98,56,M,Urban,1,0,Public Sector,71260.06395390403,54,3,0,0,0
99,54,F,Rural,0,1,Self-Employed,7920.463014704839,68,11,0,0,0
100,25,F,Rural,1,0,Self-Employed,5412.811042217187,110,36,0,0,0
101,65,M,Urban,0,0,Self-Employed,47319.77332078263,104,28,0,1,0
102,29,F,Urban,0,0,Self-Employed,24133.23363029572,97,22,0,0,0
103,63,M,Rural,0,1,Informal,29371.990138493857,71,24,0,1,0
104,18,F,Rural,1,1,Self-Employed,14310.0876195121,86,39,0,0,0
105,63,M,Urban,1,1,Informal,4069.330028668517,70,34,0,1,0
106,62,M,Urban,0,0,Self-Employed,13091.504368166761,55,31,0,0,0
107,62,F,Urban,0,0,Informal,3644.8588873455255,81,25,0,1,0
108,55,M,Rural,0,1,Public Sector,14851.685773722758,3,0,0,1,0
109,44,F,Rural,1,0,Self-Employed,20635.029100855125,99,16,0,0,0
110,58,M,Urban,0,0,Informal,28922.02676210917,38,6,0,0,0
111,33,F,Urban,0,1,Self-Employed,11362.940726990111,65,38,0,0,0
112,62,F,Urban,1,0,Informal,22258.84464933328,80,17,0,0,0
113,49,F,Urban,1,0,Informal,5936.924831455661,40,12,0,1,0
114,44,F,Rural,0,0,Public Sector,26511.348654185786,40,24,0,1,0
115,46,M,Rural,1,0,Self-Employed,20987.564072968435,22,23,0,0,0
116,50,F,Urban,0,0,Self-Employed,6449.880790970208,12,46,1,0,0
117,20,M,Rural,0,0,Informal,18700.641747267062,105,8,0,1,0
118,25,F,Urban,1,0,Informal,29254.830182657013,62,41,0,1,0
119,31,F,Urban,1,0,Informal,13029.088904603814,81,10,0,0,0
120,24,F,Urban,0,1,Self-Employed,6336.063162767284,19,40,0,0,0
121,43,F,Rural,0,1,Self-Employed,14104.196405253739,102,26,0,0,0
122,56,F,Urban,0,1,Informal,19034.027985769004,37,26,2,1,1
123,55,M,Rural,0,0,Informal,6298.126233808245,55,35,0,1,0
124,44,F,Rural,0,0,Informal,5463.844022047277,60,4,0,0,0
125,66,F,Rural,0,0,Informal,18570.338433277637,89,39,0,1,0
126,50,M,Rural,0,0,Informal,23639.57200943116,14,37,0,0,0
127,22,F,Urban,0,0,Informal,68311.19105649633,108,9,0,1,0
128,61,M,Urban,1,0,Informal,20839.474993732463,14,4,0,0,0
129,50,M,Rural,1,0,Informal,4650.628471673233,76,36,0,0,0
130,54,M,Urban,0,0,Informal,62558.026943077275,26,4,0,0,0
131,50,M,Rural,1,0,Self-Employed,28453.109307013427,110,28,0,1,0
132,49,F,Urban,0,0,Self-Employed,2459.7281337744835,71,12,2,1,1
133,23,F,Urban,0,1,Informal,5365.747614127994,113,35,1,0,1
134,49,F,Rural,1,0,Informal,8256.666954732695,112,46,0,0,0
135,63,F,Rural,1,0,Self-Employed,23920.74992989391,32,42,0,0,0
136,35,M,Rural,0,0,Informal,1823.4015767731053,29,37,0,0,0
137,52,M,Rural,1,1,Informal,11122.585753457537,14,32,0,1,0
138,19,M,Urban,0,1,Informal,22853.557872755035,86,3,0,0,0
139,37,F,Rural,0,0,Informal,1267.4129733393836,3,47,1,0,1
140,42,M,Rural,1,0,Self-Employed,22235.152041538502,23,45,0,0,0
141,74,F,Rural,0,0,Self-Employed,24479.16843624465,109,3,0,0,0
142,30,F,Urban,1,0,Informal,6214.875528747308,76,39,0,0,0
143,33,F,Rural,1,0,Informal,4862.914316450802,54,5,0,1,0
144,41,F,Urban,1,0,Private Sector,6137.594448662754,17,30,0,0,0
145,74,M,Urban,1,1,Self-Employed,1442.8054090670175,101,12,0,1,0
146,66,F,Rural,0,1,Private Sector,9424.52949515432,101,6,1,0,0
147,19,F,Rural,1,0,Self-Employed,14584.287215340919,6,11,0,1,0
148,31,F,Rural,1,0,Informal,4612.630439861345,89,16,0,1,0
149,64,F,Rural,1,0,Informal,26626.511503234135,40,17,1,0,0
150,21,F,Urban,1,0,Informal,13280.827727318905,82,15,0,0,0
151,66,F,Urban,1,1,Self-Employed,15063.610353799453,36,23,0,0,0
152,34,M,Rural,0,0,Informal,8869.96097046326,2,32,0,0,0
153,70,F,Rural,1,1,Self-Employed,22169.176648884753,90,23,0,0,0
154,34,F,Rural,0,0,Self-Employed,34353.92493370227,100,29,0,0,0
155,42,M,Rural,1,1,Self-Employed,8830.863597273203,82,19,0,0,0
156,55,F,Urban,1,0,Self-Employed,22490.503268650817,18,13,1,1,0
157,25,M,Urban,1,0,Informal,22689.214801556664,54,7,0,1,0
158,49,F,Urban,0,0,Informal,17091.208599540554,64,15,0,1,0
159,46,M,Rural,0,0,Self-Employed,46801.30474638381,95,9,0,0,0
160,62,M,Rural,1,1,Self-Employed,6841.971959694665,93,25,2,1,0
161,74,F,Rural,0,0,Self-Employed,8732.302444421117,106,32,0,1,0
162,55,M,Urban,1,1,Self-Employed,6571.224715222375,76,42,0,1,0
163,41,M,Urban,0,1,Self-Employed,21851.838114545422,112,14,0,1,0
164,41,M,Urban,0,0,Informal,9838.258509372441,98,6,1,0,1
165,41,F,Rural,1,1,Informal,7012.318690227424,24,40,0,1,0
166,64,F,Rural,1,0,Public Sector,46283.51396628624,85,36,0,0,0
167,36,F,Urban,1,0,Self-Employed,52032.70055155849,11,15,0,0,0
168,27,M,Rural,0,0,Self-Employed,9405.676607657515,90,49,1,0,0
169,37,F,Urban,1,0,Informal,4097.353471014846,27,32,0,1,0
170,19,M,Rural,0,0,Self-Employed,54330.278505081136,36,37,0,0,0
171,24,F,Urban,1,0,Informal,17829.46020078694,69,17,0,0,0
172,23,M,Rural,0,0,Informal,17130.245210858506,46,22,0,1,0
173,61,M,Urban,1,0,Informal,13306.711528137217,78,17,0,1,0
174,59,M,Rural,0,0,Self-Employed,6449.570526069438,60,36,0,1,0
175,57,F,Rural,1,0,Informal,8790.216676152642,76,40,0,0,0
176,44,F,Rural,1,0,Informal,21040.386561513737,70,43,0,0,0
177,58,M,Rural,1,0,Informal,8552.464080850223,25,16,0,0,0
178,27,F,Urban,0,0,Informal,17299.101245849288,83,38,0,0,0
179,69,F,Urban,1,0,Self-Employed,12366.116451604308,115,34,0,1,0
180,46,M,Urban,0,0,Self-Employed,5252.783579140555,67,0,0,0,0
181,71,F,Urban,0,0,Self-Employed,44753.61576572815,73,39,1,0,1
182,26,F,Urban,1,0,Informal,19677.858477356138,85,6,1,1,1
183,46,M,Rural,1,0,Informal,15939.269865953014,11,6,0,1,0
184,57,F,Urban,1,0,Informal,19073.209436026395,18,5,0,0,0
185,46,M,Rural,1,0,Self-Employed,2915.246443621752,67,27,0,0,0
186,43,F,Urban,1,0,Public Sector,8245.965453607158,47,1,1,1,1
187,27,M,Rural,0,0,Informal,3605.380431812153,83,25,0,0,0
188,39,F,Urban,1,0,Private Sector,13517.926619100148,109,35,0,0,0
189,31,M,Rural,1,0,Informal,15879.000134162212,94,26,0,1,0
190,35,F,Rural,0,0,Self-Employed,13699.218485832434,26,13,0,0,0
191,56,F,Rural,1,1,Self-Employed,31410.40002661953,37,16,0,0,0
192,53,M,Rural,0,1,Self-Employed,3692.8036085783765,18,36,0,1,0
193,52,F,Rural,0,0,Self-Employed,6455.076971500601,12,16,0,0,0
194,38,F,Rural,1,0,Informal,17043.111866978325,89,33,0,0,0
195,72,F,Rural,1,0,Self-Employed,15110.910797207118,83,34,0,0,0
196,22,M,Rural,0,0,Informal,4271.320970359947,24,26,0,1,0
197,37,F,Rural,0,0,Self-Employed,31864.470792488253,84,18,0,0,0
198,24,M,Urban,0,0,Informal,42049.412902634176,55,2,0,0,0
199,37,M,Rural,0,0,Informal,17197.040967871213,105,37,0,0,0
200,72,F,Rural,0,0,Public Sector,3658.3440789903675,85,15,2,0,0
201,38,F,Rural,0,0,Informal,13902.211424315252,33,22,0,0,0
202,69,F,Rural,0,0,Informal,16063.374089189694,58,1,0,0,0
203,46,M,Rural,0,1,Informal,9843.328079592218,28,37,0,1,0
204,57,F,Urban,0,1,Self-Employed,35947.63977102244,108,45,0,0,0
205,44,F,Rural,1,0,Self-Employed,11150.861928644963,62,43,0,0,0
206,33,M,Rural,0,0,Public Sector,65884.39463123928,105,15,1,1,0
207,61,F,Rural,1,0,Self-Employed,22891.40466753807,61,4,0,1,0
208,73,M,Rural,1,0,Informal,15258.425318826716,60,4,0,1,0
209,33,M,Rural,1,0,Informal,25549.29270905394,23,19,1,1,1
210,62,F,Urban,1,0,Informal,41636.4483096413,115,0,0,1,0
211,32,F,Rural,0,0,Self-Employed,25116.106671625166,81,8,0,1,0
212,58,M,Urban,1,0,Private Sector,11514.414820569384,35,30,0,0,0
213,62,M,Rural,0,0,Informal,7216.221750219716,100,2,0,0,0
214,43,M,Rural,1,0,Informal,4985.740094236923,28,31,0,1,0
215,60,F,Rural,1,0,Self-Employed,1736.1889258362264,12,43,0,0,0
216,33,M,Rural,1,0,Self-Employed,14064.507575278973,80,49,0,1,0
217,22,F,Rural,0,0,Self-Employed,8972.209940912371,90,48,1,0,0
218,23,F,Urban,0,0,Informal,9364.864757151583,69,14,0,0,0
219,43,M,Urban,1,0,Informal,27864.50771036601,85,32,0,0,0
220,69,F,Rural,1,0,Informal,11185.404043034492,30,2,0,0,0
221,25,F,Rural,1,0,Informal,55720.64056810832,34,11,1,0,0
222,43,F,Urban,1,1,Self-Employed,7735.250441616025,45,38,0,1,0
223,58,M,Rural,1,0,Informal,5626.608127186366,25,10,0,0,0
224,29,M,Rural,0,0,Informal,4473.4442022036565,28,15,0,1,0
225,59,M,Urban,1,0,Private Sector,21812.18094307553,6,20,0,0,0
226,35,F,Rural,1,0,Self-Employed,30736.675126232087,29,16,0,0,0
227,64,F,Rural,0,1,Informal,7604.588456885428,66,36,0,0,0
228,51,M,Rural,0,0,Private Sector,5223.050220902852,44,45,0,0,0
229,49,M,Urban,1,0,Informal,41616.16627241491,52,26,0,0,0
230,28,F,Rural,0,0,Self-Employed,3834.144075110871,110,28,0,0,0
231,44,M,Urban,0,0,Informal,27452.132969381586,1,36,0,0,0
232,66,M,Rural,1,1,Public Sector,7748.371081083797,100,20,1,0,0
233,19,F,Rural,1,0,Informal,16809.496795368028,4,22,0,0,0
234,61,M,Rural,0,1,Informal,28956.801161973628,61,47,0,0,0
235,46,M,Urban,0,0,Private Sector,17908.450173689107,16,19,0,1,0
236,59,M,Rural,0,0,Self-Employed,9660.66876553526,57,13,0,0,0
237,55,M,Urban,1,1,Informal,37380.363835884695,107,1,0,1,0
238,42,F,Rural,0,0,Informal,15418.203154343671,4,1,0,1,0
239,35,F,Rural,1,0,Informal,232822.26032337986,61,38,0,0,0
240,53,F,Rural,0,0,Informal,3127.21862906478,56,11,0,0,0
241,25,M,Rural,0,1,Self-Employed,3090.479163114993,54,37,1,0,0
242,51,F,Rural,1,0,Informal,27103.860748769654,75,2,1,1,0
243,23,M,Urban,1,1,Public Sector,11927.740164842702,39,39,0,1,0
244,55,F,Urban,0,0,Self-Employed,23065.897838441422,93,20,1,1,0
245,53,M,Urban,0,0,Public Sector,5081.279066007664,29,40,0,1,0
246,22,F,Rural,1,0,Self-Employed,12776.07045861392,43,41,0,1,0
247,61,M,Rural,0,0,Informal,17639.164955576944,56,28,0,1,0
248,41,M,Urban,1,0,Self-Employed,7919.270171158342,110,48,0,1,0
249,62,F,Rural,1,0,Informal,14727.720865657184,64,47,0,1,0
250,20,M,Urban,1,0,Informal,4116.679046891656,100,35,0,1,0
251,28,M,Urban,0,0,Self-Employed,16778.96490603843,17,24,0,0,0
252,46,F,Rural,1,0,Self-Employed,38885.68336304402,10,46,0,0,0
253,28,F,Urban,0,0,Informal,4545.807387338748,60,48,0,0,0
254,36,M,Urban,1,0,Informal,4331.461661559312,108,20,0,1,0
255,55,F,Rural,0,0,Informal,31696.44651906,28,16,0,1,0
256,26,F,Urban,0,0,Self-Employed,4270.61343676977,27,15,1,0,1
257,56,F,Rural,1,0,Informal,23968.69273054059,18,46,0,0,0
258,23,F,Rural,1,0,Public Sector,12788.502373730675,110,7,0,0,0
259,27,F,Rural,1,0,Self-Employed,8758.3731320704,11,0,0,0,0
260,51,F,Rural,1,1,Informal,39546.91105353204,76,25,2,0,1
261,63,F,Rural,0,0,Self-Employed,25707.582137095575,46,47,0,0,0
262,27,F,Urban,0,0,Public Sector,15302.867499098313,50,16,0,0,0
263,35,M,Rural,1,0,Self-Employed,2186.133616462007,85,25,0,1,0
264,70,M,Rural,0,0,Informal,21629.77201239022,52,5,0,1,0
265,74,M,Urban,1,1,Informal,5194.393058097631,3,41,0,0,0
266,51,F,Rural,1,0,Self-Employed,10248.815798557825,67,46,0,1,0
267,43,M,Urban,1,0,Self-Employed,12306.591106710704,4,31,0,0,0
268,37,F,Rural,1,0,Private Sector,55817.61962459556,101,6,0,0,0
269,52,F,Urban,0,0,Informal,9990.894019388641,113,4,0,0,0
270,51,F,Urban,1,0,Self-Employed,3919.8377302595622,100,36,0,0,0
271,34,M,Rural,0,0,Informal,39645.70792252391,50,6,0,1,0
272,19,F,Rural,1,0,Informal,21864.26345882596,50,3,0,0,0
273,26,F,Rural,0,0,Informal,22525.508325209237,70,44,0,1,0
274,72,M,Urban,1,0,Informal,40245.65828172727,102,26,2,0,1
275,41,F,Urban,1,0,Self-Employed,48561.68305083782,90,29,0,1,0
276,45,M,Rural,1,0,Informal,5994.728354041593,57,33,0,0,0
277,44,F,Rural,1,0,Self-Employed,4020.780042589371,97,17,0,0,0
278,62,F,Urban,1,0,Self-Employed,24004.54341197015,50,11,0,1,0
279,21,M,Rural,1,1,Informal,9917.430573716592,92,25,0,0,0
280,22,M,Urban,0,0,Self-Employed,10663.698651835683,29,3,0,0,0
281,33,M,Urban,1,1,Informal,4987.487181697415,54,14,0,0,0
282,45,M,Rural,0,0,Informal,19518.934980595033,99,29,1,0,1
283,56,F,Rural,0,0,Private Sector,16877.35302395681,30,47,0,1,0
284,45,M,Rural,1,0,Informal,10803.490292239903,74,30,0,0,0
285,43,M,Rural,0,0,Informal,4029.3050960063424,34,37,0,1,0
286,71,F,Urban,1,0,Self-Employed,32187.80807020027,52,15,0,0,0
287,27,F,Urban,0,0,Informal,15011.721556492907,39,2,0,0,0
288,50,F,Urban,0,1,Informal,29920.465482965425,79,18,0,1,0
289,48,F,Rural,0,0,Self-Employed,2274.7216838327718,90,34,0,1,0
290,44,M,Rural,1,1,Self-Employed,12803.598302683562,103,2,0,0,0
291,64,F,Urban,0,0,Self-Employed,6894.670208092516,43,43,0,1,0
292,33,M,Rural,1,1,Public Sector,12593.559797007138,24,14,0,0,0
293,72,F,Rural,1,0,Informal,26019.237773984158,111,34,0,0,0
294,36,F,Rural,1,1,Informal,16448.357421070774,47,44,0,1,0
295,49,F,Urban,1,0,Informal,12413.263197886323,78,30,0,0,0
296,47,F,Urban,0,0,Informal,12360.329057741665,46,8,2,0,1
297,66,F,Rural,0,0,Private Sector,3512.948046616456,100,12,0,0,0
298,43,M,Urban,1,0,Self-Employed,5924.00821652722,10,23,0,1,0
299,34,F,Rural,0,1,Informal,30003.011563664444,5,48,0,0,0
300,19,F,Rural,0,0,Informal,8164.8492308956065,40,33,0,1,0
301,38,F,Rural,0,0,Informal,30465.745748503214,50,30,0,0,0
302,65,F,Urban,0,0,Self-Employed,23697.379557415486,91,40,1,1,1
303,18,M,Rural,1,0,Informal,24720.47418731072,56,7,0,1,0
304,69,F,Rural,1,0,Public Sector,15968.199900078223,31,4,1,0,0
305,48,M,Rural,0,1,Informal,8631.869760387433,10,29,0,1,1
306,25,M,Urban,1,0,Informal,10841.117469865716,97,29,0,0,0
307,35,M,Urban,0,1,Private Sector,20421.25860871834,61,12,0,1,0
308,49,F,Rural,0,0,Public Sector,2233.9614110742277,114,31,0,0,0
309,35,M,Urban,0,1,Informal,33091.90996408128,40,7,0,0,0
310,24,M,Rural,1,0,Informal,8200.311750372428,27,9,0,0,0
311,55,M,Rural,0,0,Public Sector,11418.563395629055,33,44,0,1,0
312,56,F,Rural,0,0,Self-Employed,11497.592835537804,49,1,0,0,0
313,24,F,Urban,1,0,Self-Employed,11850.87450050638,17,27,0,0,0
314,34,M,Rural,1,0,Self-Employed,4277.438628646491,16,42,0,1,0
315,31,M,Rural,1,0,Public Sector,13813.519042500038,95,35,2,0,0
316,55,F,Rural,1,0,Self-Employed,19683.08095665962,83,22,0,1,0
317,59,M,Rural,0,0,Informal,2383.8254216048836,60,15,2,1,0
318,59,F,Urban,0,0,Informal,4321.6579802707965,58,3,0,1,0
319,71,M,Urban,1,0,Self-Employed,25052.15900102618,60,6,0,0,0
320,61,F,Rural,0,0,Informal,21587.305675631207,71,28,0,1,0
321,36,M,Urban,1,0,Informal,15537.566156357827,35,26,0,0,0
322,24,F,Rural,1,1,Self-Employed,7089.035185312731,93,18,0,1,0
323,53,M,Rural,1,0,Informal,21687.97185892083,1,14,0,1,0
324,70,F,Rural,0,0,Private Sector,4673.681887377284,93,4,0,1,0
325,73,F,Urban,0,0,Informal,10961.606969457162,95,6,0,0,0
326,31,F,Rural,0,0,Self-Employed,4301.971374938249,62,14,0,1,0
327,31,M,Urban,0,0,Self-Employed,10747.424797861127,36,46,0,1,0
328,20,M,Rural,1,0,Informal,5365.314679706947,105,16,0,1,0
329,26,F,Urban,0,0,Informal,22396.76245361328,98,5,0,0,0
330,49,F,Rural,1,0,Informal,17301.845828030917,111,28,2,1,0
331,49,M,Urban,1,0,Self-Employed,7750.886797053436,2,6,0,1,0
332,39,M,Urban,1,1,Self-Employed,29268.360894296722,76,20,0,0,0
333,35,M,Rural,1,0,Informal,5692.875273933394,1,36,0,0,0
334,65,F,Urban,1,1,Informal,11894.072320344507,5,5,0,1,0
335,44,F,Urban,1,0,Private Sector,7481.330604446756,8,46,1,0,0
336,64,F,Rural,1,0,Informal,22157.25851228897,93,31,0,0,0
337,72,F,Rural,0,1,Public Sector,20471.254670253107,87,45,0,0,0
338,36,M,Urban,1,0,Informal,34668.550766388136,107,36,1,0,1
339,29,M,Urban,1,0,Informal,13074.389089563318,76,48,0,0,0
340,72,M,Rural,0,0,Self-Employed,1146.3584120043529,67,25,1,1,0
341,54,F,Urban,0,1,Informal,8667.435445407145,22,0,0,0,0
342,34,M,Rural,1,0,Public Sector,42797.32029596549,84,3,0,1,0
343,53,M,Rural,0,0,Self-Employed,9433.54555436085,109,9,1,0,1
344,47,M,Rural,1,0,Self-Employed,2638.5743693243976,43,5,0,1,0
345,69,M,Rural,1,0,Self-Employed,17526.836313633656,83,40,0,0,0
346,32,F,Rural,0,0,Self-Employed,18606.578934241174,60,47,0,0,0
347,74,M,Rural,1,0,Self-Employed,6838.090620567932,63,31,0,0,0
348,71,M,Rural,0,1,Self-Employed,10042.925360310213,95,9,0,1,0
349,28,F,Rural,1,1,Self-Employed,6211.677428289803,35,48,0,0,0
350,27,M,Urban,0,0,Self-Employed,18584.417963892483,105,15,0,0,0
351,48,M,Rural,0,0,Informal,12801.307145064231,118,44,0,1,0
352,20,M,Urban,0,0,Informal,4814.574133851509,14,34,1,1,1
353,35,F,Rural,1,0,Informal,12141.540409228559,61,21,0,0,0
354,42,M,Rural,1,0,Informal,6806.29710521967,3,39,0,0,0
355,73,F,Rural,0,0,Informal,39374.41663757316,41,33,0,1,0
356,74,F,Urban,0,0,Informal,25008.753735813552,45,45,2,1,1
357,26,F,Rural,1,0,Informal,11094.441879173173,79,30,0,0,0
358,68,M,Rural,1,0,Self-Employed,13054.319173009782,47,19,0,0,0
359,23,F,Urban,0,1,Self-Employed,27530.34108895384,44,4,0,1,0
360,60,M,Urban,0,0,Informal,10648.078091014082,93,49,0,0,0
361,66,M,Urban,0,0,Private Sector,22443.066980300315,91,39,2,0,0
362,68,F,Rural,0,0,Private Sector,39892.03301202646,2,5,0,1,0
363,30,M,Rural,1,1,Public Sector,8261.135714360997,41,30,0,1,0
364,68,M,Rural,1,0,Informal,45658.22687763254,91,41,0,1,0
365,24,M,Urban,0,0,Informal,36174.74555799621,13,34,0,0,0
366,47,M,Rural,0,0,Informal,14926.15089727262,64,13,0,0,0
367,44,M,Rural,1,0,Self-Employed,8577.462509379173,59,6,0,0,0
368,36,F,Rural,0,1,Self-Employed,14778.256674650163,84,46,0,0,0
369,19,F,Rural,1,0,Self-Employed,10061.004491572,81,18,0,1,0
370,62,M,Urban,1,0,Self-Employed,6488.622390493106,61,43,0,0,0
